"","kitahara.tetsurou","","","","学術論文","","研究論文（学術雑誌）","","","","日本語","","単著","Generating Melodies from Melodic Outlines Towards an Improvisation Support System for Non-musicians","","北原 鉄朗","","IIAI Letters on Informatics and Interdisciplinary Research","","","","","","","","2023","2","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","日本語","","共著(第一著者以外)","A Music Loop Sequencer with User-Adaptive Music Loop Selection","","Yuki Iwamoto,Tetsuro Kitahara","","Proceedings of the 4th ACM International Conference on Multimedia in Asia","","","","","","","","2022","12","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","日本語","","共著(第一著者)","JamSketch Deep α: A CNN-Based Improvisation System in Accordance with User's Melodic Outline Drawing","","Tetsuro Kitahara,Akio Yonamine","","Proceedings of the 4th ACM International Conference on Multimedia in Asia","","","","","","","","2022","12","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","日本語","","共著(第一著者以外)","Automatic classification of blowing properness in flute sounds","","Sai Oshita,Tetsuro Kitahara","","Proceedings of the 24th International Congress on Acoustics (ICA 2022)","","","","","","","","2022","10","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","英語","","共著(第一著者以外)","","Morphing-based Reharmonization with VAE: Reducing Dissonance with Consonance-based Loss Function","","Aiko Uemura and Tetsuro Kitahara","","Proceedings of the 3rd Conference on AI Music Creativity (AIMC 2022)","","","","","","","2022","9","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","解説・総説","","研究論文（学術雑誌）","","","","日本語","","単著","コロナ時代のオンライン学術イベントにおけるオーディオ配信術","","北原 鉄朗","","日本音響学会 2022年","","","","","","","","2022","4","","","","","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","英語","","共著(第一著者以外)","","Are Theme Songs Usable for Anime Retrieval?","","Naoto Homma,Aiko Uemura,and Tetsuro Kitahara","","IEEE 4th International Conference on Multimedia Information Processing and Retrieval (IEEE MIPR 2021)","","","","","","","2021","9","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","英語","","共著(第一著者以外)","","Morphing-Based Reharmonization using LSTM-VAE","","Aiko Uemura and Tetsuro Kitahara","","The 2020 Joint Conference on AI Music Creativity (CSMC + MuMe 2020)","","","","","","","2020","10","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（国際会議プロシーディングス）","","","","英語","","共著(第一著者以外)","","A Piano Ballad Arrangement System","","Mio Kusachi,Aiko Uemura,and Tetsuro Kitahara","","The 2020 Joint Conference on AI Music Creativity (CSMC + MuMe 2020)","","","","","","","2020","10","","","","有","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
"","kitahara.tetsurou","","","","学術論文","","研究論文（学術雑誌）","","","","日本語","","単著","楽器音の特徴と識別","","北原 鉄朗","","音楽知覚認知ハンドブック","","","","","","","","2020","2","","","","","","無","","","","","","","","","","","","","","","","","","","公開","","公開","","提供(公開)",
